DATE,CLOSE
19670228,89.4
19670331,88.0
19670501,87.1
19670531,87.5
19670630,86.4
19670731,86.0
19670831,85.4
19671002,86.6
19671031,86.1
19671130,86.4
19680101,87.3
19680131,87.8
19680229,87.4
19680401,87.3
19680430,87.3
19680531,87.1
19680701,87.7
19680731,87.7
19680902,87.2
19680930,87.1
19681031,87.1
19681202,86.9
19681231,87.7
19690131,87.6
19690228,87.9
19690331,88.1
19690430,88.5
19690602,87.8
19690630,87.2
19690731,87.7
19690901,87.9
19690930,87.8
19691031,87.4
19691201,87.2
19691231,86.0
19700202,85.5
19700302,83.6
19700331,83.3
19700430,83.0
19700601,82.5
19700630,82.1
19700731,81.6
19700831,81.6
19700930,81.2
19701102,80.4
19701130,78.5
19701231,77.8
19710201,79.3
19710301,79.7
19710331,79.4
19710430,79.1
19710531,79.3
19710630,79.5
19710802,79.7
19710831,79.2
19710930,78.6
19711101,79.6
19711130,80.0
19711231,80.2
19720131,80.9
19720229,82.6
19720331,83.2
19720501,83.6
19720531,84.3
19720630,84.1
19720731,84.1
19720831,83.8
19721002,84.7
19721031,85.1
19721130,86.0
19730101,86.8
19730131,87.5
19730228,87.8
19730402,88.8
19730430,88.6
19730531,88.1
19730702,88.4
19730731,88.1
19730831,88.2
19731001,87.8
19731031,88.3
19731130,88.6
19731231,88.8
19740131,88.3
19740228,87.4
19740401,86.9
19740430,86.7
19740531,86.2
19740701,86.7
19740731,86.4
19740902,86.2
19740930,85.2
19741031,85.1
19741202,84.6
19741231,81.7
19750131,78.7
19750228,77.4
19750331,75.5
19750430,74.6
19750602,74.6
19750630,74.2
19750731,74.6
19750901,75.2
19750930,75.8
19751031,76.6
19751201,76.8
19751231,76.8
19760202,77.6
19760301,78.6
19760331,79.2
19760430,79.1
19760531,79.4
19760630,79.6
19760802,79.4
19760831,79.7
19760930,80.0
19761101,80.1
19761130,79.9
19761231,80.9
19770131,81.6
19770228,80.9
19770331,82.0
19770502,82.8
19770531,83.3
19770630,83.8
19770801,84.2
19770831,84.1
19770930,83.9
19771031,84.1
19771130,84.0
19780102,83.9
19780131,83.7
19780228,82.4
19780331,82.5
19780501,83.9
19780531,85.3
19780630,85.4
19780731,85.7
19780831,85.5
19781002,85.5
19781031,85.5
19781130,86.0
19790101,86.4
19790131,86.7
19790228,85.9
19790402,86.1
19790430,86.2
19790531,85.0
19790702,85.5
19790731,85.3
19790831,85.0
19791001,84.2
19791031,84.1
19791130,84.4
19791231,84.2
19800131,84.1
19800229,84.3
19800331,84.1
19800430,83.7
19800602,81.8
19800630,79.7
19800731,78.6
19800901,77.8
19800930,77.9
19801031,79.0
19801201,79.8
19801231,81.0
19810202,81.3
19810302,80.6
19810331,80.0
19810430,80.3
19810601,79.7
19810630,80.0
19810731,80.2
19810831,80.5
19810930,80.3
19811102,79.6
19811130,78.8
19811231,77.7
19820201,76.7
19820301,75.0
19820331,76.4
19820430,75.6
19820531,74.8
19820630,74.2
19820802,73.9
19820831,73.5
19820930,72.8
19821101,72.5
19821130,71.8
19821231,71.4
19830131,70.9
19830228,72.2
19830331,71.7
19830502,72.3
19830531,73.1
19830630,73.6
19830801,74.0
19830831,75.1
19830930,75.9
19831031,77.0
19831130,77.6
19840102,77.8
19840131,78.1
19840229,79.6
19840402,79.9
19840430,80.1
19840531,80.5
19840702,80.7
19840731,80.8
19840831,81.0
19841001,80.8
19841031,80.5
19841130,80.2
19841231,80.3
19850131,80.2
19850228,79.8
19850401,80.0
19850430,79.9
19850531,79.5
19850701,79.4
19850731,79.3
19850902,78.6
19850930,78.7
19851031,78.9
19851202,78.5
19851231,78.6
19860131,79.3
19860228,79.6
19860331,79.0
19860430,78.4
19860602,78.3
19860630,78.4
19860731,78.1
19860901,78.4
19860930,78.3
19861031,78.3
19861201,78.6
19861231,78.8
19870202,79.4
19870302,79.0
19870331,79.8
19870430,79.8
19870601,80.2
19870630,80.5
19870731,80.7
19870831,81.1
19870930,81.7
19871102,81.7
19871130,82.8
19871231,83.1
19880201,83.4
19880229,83.4
19880331,83.7
19880502,83.8
19880531,84.2
19880630,84.1
19880801,84.3
19880831,84.3
19880930,84.6
19881031,84.3
19881130,84.7
19890102,84.8
19890131,85.1
19890228,85.2
19890331,84.7
19890501,84.8
19890531,84.7
19890630,84.0
19890731,83.8
19890831,82.9
19891002,83.4
19891031,83.0
19891130,82.7
19900101,82.8
19900131,83.1
19900228,82.4
19900402,83.0
19900430,83.2
19900531,83.0
19900702,82.9
19900731,83.0
19900831,82.8
19901001,82.9
19901031,82.9
19901130,82.1
19901231,81.1
19910131,80.4
19910228,80.0
19910401,79.3
19910430,78.8
19910531,78.9
19910701,79.6
19910731,80.2
19910902,80.2
19910930,80.2
19911031,80.8
19911202,80.5
19911231,80.3
19920131,79.9
19920302,79.2
19920331,79.7
19920430,80.2
19920601,80.6
19920630,80.7
19920731,80.6
19920831,81.1
19920930,80.5
19921102,80.6
19921130,81.0
19921231,81.2
19930201,81.1
19930301,81.4
19930331,81.6
19930430,81.4
19930531,81.5
19930630,81.1
19930802,81.2
19930831,81.3
19930930,81.1
19931101,81.4
19931130,81.8
19931231,82.0
19940131,82.3
19940228,82.4
19940331,82.3
19940502,82.9
19940531,83.1
19940630,83.3
19940801,83.6
19940831,83.5
