DATE,CLOSE
19500228,99.0
19500331,8.0
19500501,121.0
19500531,181.0
19500630,309.0
19500731,143.0
19500831,149.0
19501002,389.0
19501031,100.0
19501130,176.0
19510101,25.0
19510131,20.0
19510228,168.0
19510402,126.0
19510430,49.0
19510531,41.0
19510702,-2.0
19510731,12.0
19510831,-66.0
19511001,-49.0
19511031,-65.0
19511130,-23.0
19511231,26.0
19520131,46.0
19520229,22.0
19520331,38.0
19520430,22.0
19520602,35.0
19520630,-19.0
19520731,-315.0
19520901,-121.0
19520930,572.0
19521031,274.0
19521201,137.0
19521231,153.0
19530202,130.0
19530302,94.0
19530331,91.0
19530430,112.0
19530601,23.0
19530630,48.0
19530731,2.0
19530831,10.0
19530930,-75.0
19531102,-127.0
19531130,-170.0
19531231,-253.0
19540201,-147.0
19540301,-141.0
19540331,-133.0
19540430,-110.0
19540531,-132.0
19540630,-91.0
19540802,-64.0
19540831,-111.0
19540930,-27.0
19541101,33.0
19541130,36.0
19541231,72.0
19550131,54.0
19550228,67.0
19550331,104.0
19550502,120.0
19550531,117.0
19550630,118.0
19550801,92.0
19550831,29.0
19550930,65.0
19551031,-11.0
19551130,72.0
19560102,73.0
19560131,46.0
19560229,23.0
19560402,7.0
19560430,-60.0
19560531,80.0
19560702,-16.0
19560731,-58.0
19560831,-367.0
19561001,425.0
19561031,-30.0
19561130,74.0
19561231,-21.0
19570131,41.0
19570228,13.0
19570401,28.0
19570430,-4.0
19570531,-24.0
19570701,-39.0
19570731,-58.0
19570902,-19.0
19570930,13.0
19571031,-157.0
19571202,-111.0
19571231,-133.0
19580131,-134.0
19580228,-202.0
19580331,-222.0
19580430,-238.0
19580602,-164.0
19580630,-92.0
19580731,-6.0
19580901,42.0
19580930,74.0
19581031,134.0
19581201,-155.0
19581231,324.0
19590202,50.0
19590302,121.0
19590331,117.0
19590430,144.0
19590601,126.0
19590630,102.0
19590731,67.0
19590831,69.0
19590930,-421.0
19591102,52.0
19591130,-96.0
19591231,142.0
19600201,273.0
19600229,114.0
19600331,78.0
19600502,-58.0
19600531,-53.0
19600630,-79.0
19600801,-109.0
19600831,-53.0
19600930,-53.0
19601031,-30.0
19601130,-99.0
19610102,-119.0
19610131,-165.0
19610228,-84.0
19610331,-62.0
19610501,1.0
19610531,23.0
19610630,107.0
19610731,49.0
